block,daycol,nitr_N,inoc,edge,well,plate_number,sqmm,green_per_arr
1,1,15,I+,TRUE,A1_0101,1,5.111750012,0.326217131
1,2,15,I+,TRUE,A1_0101,1,6.405661734,0.328840971
1,3,15,I+,TRUE,A1_0101,1,8.508268282,0.33740293
1,4,15,I+,TRUE,A1_0101,1,9.953935082,0.334848198
1,5,15,I+,TRUE,A1_0101,1,11.79895735,0.337994585
1,6,15,I+,TRUE,A1_0101,1,13.14478529,0.340561286
1,7,15,I+,TRUE,A1_0101,1,14.32687748,0.342119731
1,8,15,I+,TRUE,A1_0101,1,15.07566898,0.343133395
1,9,15,I+,TRUE,A1_0101,1,16.15193197,0.344989167
1,10,15,I+,TRUE,A1_0101,1,14.46864867,0.342137636
1,1,10,I+,TRUE,A2_0101,1,5.529076478,0.328223194
1,2,10,I+,TRUE,A2_0101,1,6.876901188,0.329422001
1,3,10,I+,TRUE,A2_0101,1,7.995096503,0.33120583
1,4,10,I+,TRUE,A2_0101,1,11.87882845,0.341871685
1,5,10,I+,TRUE,A2_0101,1,13.16475306,0.345315562
1,6,10,I+,TRUE,A2_0101,1,15.74259262,0.346968648
1,7,10,I+,TRUE,A2_0101,1,17.33801772,0.346627923
1,8,10,I+,TRUE,A2_0101,1,18.41627749,0.346843605
1,9,10,I+,TRUE,A2_0101,1,18.52010991,0.346818189
1,10,10,I+,TRUE,A2_0101,1,18.22259008,0.347685027
1,1,0,I+,TRUE,A3_0101,1,1.078259768,0.319515153
1,2,0,I+,TRUE,A3_0101,1,1.651334867,0.324692624
1,3,0,I+,TRUE,A3_0101,1,2.276326177,0.32708162
1,4,0,I+,TRUE,A3_0101,1,0,NA
1,5,0,I+,TRUE,A3_0101,1,2.10859688,0.325674704
1,6,0,I+,TRUE,A3_0101,1,3.580221786,0.327651965
1,7,0,I+,TRUE,A3_0101,1,5.101766125,0.329278348
1,8,0,I+,TRUE,A3_0101,1,9.021440061,0.334717706
1,9,0,I+,TRUE,A3_0101,1,9.776221898,0.335799328
1,10,0,I+,TRUE,A3_0101,1,8.060990156,0.335492544
1,1,35,I+,TRUE,A4_0101,1,7.324179314,0.33125181
1,2,35,I+,TRUE,A4_0101,1,8.422406856,0.3400438
1,3,35,I+,TRUE,A4_0101,1,10.49306497,0.34251058
1,4,35,I+,TRUE,A4_0101,1,13.99940599,0.347550577
1,5,35,I+,TRUE,A4_0101,1,16.01016078,0.351871857
1,6,35,I+,TRUE,A4_0101,1,17.42587592,0.353943828
1,7,35,I+,TRUE,A4_0101,1,19.35076928,0.35473567
1,8,35,I+,TRUE,A4_0101,1,19.66226655,0.355200644
1,9,35,I+,TRUE,A4_0101,1,17.98497358,0.351937819
1,10,35,I+,TRUE,A4_0101,1,17.79927328,0.353314778
1,1,15,I+,TRUE,A5_0101,1,4.534681359,0.315850013
1,2,15,I+,TRUE,A5_0101,1,3.20083409,0.328785665
1,3,15,I+,TRUE,A5_0101,1,3.973586924,0.337385763
1,4,15,I+,TRUE,A5_0101,1,4.273103526,0.341074875
1,5,15,I+,TRUE,A5_0101,1,5.7387381,0.345377757
1,6,15,I+,TRUE,A5_0101,1,7.328172869,0.346574671
1,7,15,I+,TRUE,A5_0101,1,8.498284395,0.340926368
1,8,15,I+,TRUE,A5_0101,1,8.867688205,0.340316571
1,9,15,I+,TRUE,A5_0101,1,9.087333713,0.341809702
1,10,15,I+,TRUE,A5_0101,1,8.975514182,0.340413261
1,1,25,I+,TRUE,A6_0101,1,6.329784195,0.335528937
1,2,25,I+,TRUE,A6_0101,1,7.549815155,0.339155197
1,3,25,I+,TRUE,A6_0101,1,10.89042366,0.34469136
1,4,25,I+,TRUE,A6_0101,1,14.54652298,0.352550799
1,5,25,I+,TRUE,A6_0101,1,16.60320365,0.353881243
1,6,25,I+,TRUE,A6_0101,1,16.28571605,0.351208216
1,7,25,I+,TRUE,A6_0101,1,17.71341186,0.35240358
1,8,25,I+,TRUE,A6_0101,1,16.68507152,0.347508282
1,9,25,I+,TRUE,A6_0101,1,16.95463647,0.346303517
1,10,25,I+,TRUE,A6_0101,1,17.03850111,0.347695309
1,1,35,I+,TRUE,A7_0101,1,6.707175114,0.325849487
1,2,35,I+,TRUE,A7_0101,1,7.198382341,0.328473126
